コード,銘柄名,業種,市場,株式種類,新NISA成長投資枠
SLNG,スタビリス　ソリューションズ,電気・ガス業,NASDAQ,普通株式,〇
SLNH,ソルナ　ホールディングス,その他金融業,NASDAQ,普通株式,〇
SLNO,ソレノ　セラピューティクス,精密機器,NASDAQ,普通株式,〇
SLP,シミュレーションズ　プラス,サービス業,NASDAQ,普通株式,〇
SLQT,セレクトクォート,保険業,NYSE,普通株式,〇
SLS,セラス　ライフ　サイエンシズ　グループ,医薬品,NASDAQ,普通株式,〇
SLV,ｉシェアーズ　シルバー　トラスト,その他,NYSE_ARCA,ETF,〇
SLVM,シルバモ,パルプ・紙,NYSE,普通株式,〇
SLX,ヴァンエック　鉄鋼　ＥＴＦ,その他,NYSE_ARCA,ETF,〇
SLXN,サイレクション　セラピューティクス,医薬品,NASDAQ,普通株式,〇
SM,ＳＭ　エナジー,鉱業,NYSE,普通株式,〇
SMBC,サザン　ミズーリ　バンコープ,銀行業,NASDAQ,普通株式,〇
SMBK,スマートファイナンシャル,銀行業,NYSE,普通株式,〇
SMC,サミット　ミッドストリーム,電気・ガス業,NYSE,普通株式,〇
SMCI,スーパー　マイクロ　コンピューター,精密機器,NASDAQ,普通株式,〇
SMCL,グラナイトシェアーズ　２倍ロング　ＳＭＣＩ　デイリー　ＥＴＦ,その他,NASDAQ,ETF,
SMG,スコッツ　ミラクル　グロー,化学,NYSE,普通株式,〇
SMH,ヴァンエック　半導体　ＥＴＦ,その他,NASDAQ,ETF,〇
SMHI,シーコア　マリン　ホールディングス,海運業,NYSE,普通株式,〇
SMID,スミス－ミッドランド,ガラス・土石製品,NASDAQ,普通株式,〇
SMIN,ｉシェアーズ　ＭＳＣＩ　インド　小型株　ＥＴＦ,その他,CBOE,ETF,〇
SMMT,サミット　セラピューティクス,医薬品,NASDAQ,普通株式,〇
SMP,スタンダード　モーター　プロダクツ,輸送用機器,NYSE,普通株式,〇
SMPL,シンプリー　グッド　フーズ,食料品,NASDAQ,普通株式,〇
SMR,ニュースケール　パワー,金属製品,NYSE,普通株式,〇
SMRT,スマート　レント,サービス業,NYSE,普通株式,〇
SMSI,スミス　マイクロ　ソフトウェア,サービス業,NASDAQ,普通株式,〇
SMTC,セムテック,精密機器,NASDAQ,普通株式,〇
SMTI,サナラ　メドテック,精密機器,NASDAQ,普通株式,〇
SMTK,スマートケム,精密機器,NASDAQ,普通株式,〇
SMUP,Ｔ－ＲＥＸ２倍ロング　ＳＭＲデイリーターゲットＥＴＦ,その他,CBOE,ETF,
SMWB,シミラーウェブ,サービス業,NYSE,普通株式,〇
SMXT,ソーラーマックス　テクノロジー,建設業,NASDAQ,普通株式,〇
SMYY,グラナイトシェアーズ　イールドブースト　ＳＭＣＩ　ＥＴＦ,その他,NASDAQ,ETF,
SN,シャークニンジャ,電気機器,NYSE,普通株式,〇
SNA,スナップ　オン,金属製品,NYSE,普通株式,〇
SNAL,スネイル,サービス業,NASDAQ,普通株式,〇
SNAP,スナップ,サービス業,NYSE,普通株式,〇
SNBR,スリープ　ナンバー,その他製品,NASDAQ,普通株式,〇
SNCY,サン　カントリー　エアラインズ　ホールディングス,空運業,NASDAQ,普通株式,〇
SND,スマート　サンド,鉱業,NASDAQ,普通株式,〇
SNDA,ソニダ　シニア　リビング,サービス業,NYSE,普通株式,〇
SNDK,サンディスク　コーポレーション,精密機器,NASDAQ,普通株式,〇
SNDL,ＳＮＤＬ,医薬品,NASDAQ,普通株式,〇
SNDR,シュナイダー　ナショナル,陸運業,NYSE,普通株式,〇
SNDX,シンダックス　ファーマシューティカルズ,医薬品,NASDAQ,普通株式,〇
SNES,セネステック,化学,NASDAQ,普通株式,〇
SNEX,ストーンＸ　グループ,証券、商品先物取引業,NASDAQ,普通株式,〇
SNFCA,セキュリティ　ナショナル　ファイナンシャル,その他金融業,NASDAQ,普通株式,〇
SNGX,ソリジェニックス,医薬品,NASDAQ,普通株式,〇
SNN,スミス　＆　ネフュー　ＡＤＲ,精密機器,NYSE,ADR,〇
SNOA,ソノマ　ファーマシューティカルズ,医薬品,NASDAQ,普通株式,〇
SNOW,スノーフレイク,サービス業,NYSE,普通株式,〇
SNPS,シノプシス,サービス業,NASDAQ,普通株式,〇
SNSE,センセイ　バイオセラピューティクス,医薬品,NASDAQ,普通株式,〇
SNT,センスター　テクノロジーズ,精密機器,NASDAQ,普通株式,〇
SNTG,センテージ　ホールディングス,その他金融業,NASDAQ,普通株式,〇
SNTI,センティ　バイオサイエンシズ　ホールディングス,医薬品,NASDAQ,普通株式,〇
SNX,ＴＤ　シネックス,卸売業,NYSE,普通株式,〇
SNYR,シナジー　ＣＨＣ,医薬品,NASDAQ,普通株式,〇
SO,サザン,電気・ガス業,NYSE,普通株式,〇
SOBO,サウス・ボウ・コーポレーション,倉庫・運輸関連業,NYSE,普通株式,〇
SOC,セーブル　オフショア,鉱業,NYSE,普通株式,〇
SOCL,グローバルＸ　ソーシャルメディア　ＥＴＦ,その他,NASDAQ,ETF,〇
SOFI,ソーファイ　テクノロジーズ,その他金融業,NASDAQ,普通株式,〇
SOGP,サウンド　グループＡＤＲ,サービス業,NASDAQ,ADR,〇
SOHU,捜狐（ソフ　ドットコム）　ＡＤＲ,サービス業,NASDAQ,ADR,〇
SOLS,ソルスティス　アドバンスト　マテリアルズ,輸送用機器,NASDAQ,普通株式,〇
SOLV,ソルベンタム,医薬品,NYSE,普通株式,〇
SON,ソノコ　プロダクツ,パルプ・紙,NYSE,普通株式,〇
SONM,ＤＮＡ　Ｘ,精密機器,NASDAQ,普通株式,〇
SONO,ソノス,精密機器,NASDAQ,普通株式,〇
SOPA,ソサエティー　パス,サービス業,NASDAQ,普通株式,〇
SOPH,ソフィア　ジェネティクス,医薬品,NASDAQ,普通株式,〇
SORA,アジアストラテジー,卸売業,NASDAQ,普通株式,〇
SOS,ＳＯＳ,その他金融業,NYSE,ADR,〇
SOTK,ソノ－テック,機械,NASDAQ,普通株式,〇
SOUN,サウンドハウンド　ＡＩ,サービス業,NASDAQ,普通株式,〇
SOWG,ソウ　グッド,食料品,NASDAQ,普通株式,〇
SOXL,Ｄｉｒｅｘｉｏｎ　デイリー　半導体株　ブル３倍　ＥＴＦ,その他,NYSE_ARCA,ETF,
SOXS,Ｄｉｒｅｘｉｏｎ　デイリー　半導体株　ベア３倍　ＥＴＦ,その他,NYSE_ARCA,ETF,
SPAB,ステートストリートＳＰＤＲポートフォリオ　アグリゲートボンド,その他,NYSE_ARCA,ETF,
SPAI,セーフ　プロ　グループ,サービス業,NASDAQ,普通株式,〇
SPB,スペクトラム　ブランズ　ホールディングス,精密機器,NYSE,普通株式,〇
SPCB,スーパーコム,精密機器,NASDAQ,普通株式,〇
SPCE,ヴァージン　ギャラクティック　ホールディングス,倉庫・運輸関連業,NYSE,普通株式,〇
SPDN,Ｄｉｒｅｘｉｏｎ　デイリー　Ｓ＆Ｐ　５００　ベア１倍　ＥＴＦ,その他,NYSE_ARCA,ETF,
SPDW,ステート・ストリートＳＰＤＲ先進国株式（除く米国）ＥＴＦ,その他,NYSE_ARCA,ETF,〇
SPEM,ステート・ストリートＳＰＤＲ新興国株式ＥＴＦ,その他,NYSE_ARCA,ETF,〇
SPFF,グローバルＸ　スーパーインカム　プリファード　ＥＴＦ,その他,NYSE_ARCA,ETF,
SPFI,サウス　プレインズ　ファイナンシャル,銀行業,NASDAQ,普通株式,〇
SPGI,Ｓ＆Ｐ　グローバル,サービス業,NYSE,普通株式,〇
SPHL,スプリングビュー　ホールディングス,建設業,NASDAQ,普通株式,〇
SPHR,スフィア・エンタテインメント,サービス業,NYSE,普通株式,〇
SPHY,ステートストリートＳＰＤＲポートフォリオ　ハイイールドボンド,その他,NYSE_ARCA,ETF,
SPIB,ステート・ストリートＳＰＤＲポートフォリオ米国中期社債ＥＴＦ,その他,NYSE_ARCA,ETF,
SPIP,ステート・ストリート　ＳＰＤＲポートフォリオティップスＥＴＦ,その他,NYSE_ARCA,ETF,
SPIR,スパイア　グローバル,情報・通信業,NYSE,普通株式,〇
SPLB,ステート・ストリートＳＰＤＲ　ポートフォリオ　長期社債ＥＴＦ,その他,NYSE_ARCA,ETF,
SPMB,ステートストリートＳＰＤＲポートフォリオＭＢＳボンド　ＥＴＦ,その他,NYSE_ARCA,ETF,
SPMD,ステートストリートＳＰＤＲＳ＆Ｐ４００ＭｉｄＣａｐ,その他,NYSE_ARCA,ETF,〇
SPNT,シリウスポイント,保険業,NYSE,普通株式,〇
SPOK,スポック　ホールディングス,情報・通信業,NASDAQ,普通株式,〇
SPOT,スポティファイ　テクノロジー,情報・通信業,NYSE,普通株式,〇
SPRO,スピロ　セラピューティクス,医薬品,NASDAQ,普通株式,〇
SPRU,スプルース　パワー　ホールディング,輸送用機器,NYSE,普通株式,〇
SPRY,ＡＲＳ　ファーマシューティカルズ,医薬品,NASDAQ,普通株式,〇
SPSB,ステート・ストリートＳＰＤＲ　ポートフォリオ　短期社債ＥＴＦ,その他,NYSE_ARCA,ETF,
SPSC,エスピーエス　コマース,サービス業,NASDAQ,普通株式,〇
SPSM,ステート・ストリートＳＰＤＲポートフォリオＳ＆Ｐ６００小型株,その他,NYSE_ARCA,ETF,〇
SPT,スプラウト　ソーシャル,サービス業,NASDAQ,普通株式,〇
SPTI,ステート・ストリートＳＰＤＲポートフォリオ米国中期国債ＥＴＦ,その他,NYSE_ARCA,ETF,
SPTL,ステート・ストリートＳＰＤＲポートフォリオ米国長期国債ＥＴＦ,その他,NYSE_ARCA,ETF,
SPTM,ステートストリートＳＰＤＲポートフォリオＳ＆Ｐ１５００指数,その他,NYSE_ARCA,ETF,〇
SPTS,ステート・ストリートＳＰＤＲポートフォリオ米国短期国債ＥＴＦ,その他,NYSE_ARCA,ETF,
SPUU,Ｄｉｒｅｘｉｏｎ　デイリー　Ｓ＆Ｐ　５００　ブル２倍　ＥＴＦ,その他,NYSE_ARCA,ETF,
SPWH,スポーツマンズ　ウェアハウス　ホールディングス,小売業,NASDAQ,普通株式,〇
SPWR,サンパワー,精密機器,NASDAQ,普通株式,〇
SPXC,ＳＰＸ　テクノロジーズ,機械,NYSE,普通株式,〇
SPXL,Ｄｉｒｅｘｉｏｎ　デイリー　Ｓ＆Ｐ　５００　ブル３倍　ＥＴＦ,その他,NYSE_ARCA,ETF,
SPXS,Ｄｉｒｅｘｉｏｎ　デイリー　Ｓ＆Ｐ　５００　ベア３倍　ＥＴＦ,その他,NYSE_ARCA,ETF,
SPXU,プロシェアーズ　ウルトラプロ　ショートＳ＆Ｐ５００,その他,NYSE_ARCA,ETF,
SPY,ステート・ストリート　ＳＰＤＲ　Ｓ＆Ｐ　５００　ＥＴＦ,その他,NYSE_ARCA,ETF,〇
SPYD,ステート・ストリートＳＰＤＲポートフォリオＳ＆Ｐ５００高配当,その他,NYSE_ARCA,ETF,〇
SPYG,ステートストリートＳＰＤＲポートフォリオＳ＆Ｐ５００グロース,その他,NYSE_ARCA,ETF,〇
SPYI,ＮＥＯＳ　Ｓ＆Ｐ５００　ハイ・インカム　ＥＴＦ,その他,CBOE,ETF,
SPYM,ステート・ストリートＳＰＤＲポートフォリオＳ＆Ｐ５００ＥＴＦ,その他,NYSE_ARCA,ETF,〇
SPYV,ステートストリートＳＰＤＲポートフォリオＳ＆Ｐ５００バリュー,その他,NYSE_ARCA,ETF,〇
SQM,ソシエダードキミカイミネラデチリ　ＡＤＲ,鉱業,NYSE,ADR,〇
SQQQ,プロシェアーズ・ウルトラプロ・ショートＱＱＱ,その他,NASDAQ,ETF,
SR,スパイア,電気・ガス業,NYSE,普通株式,〇
SRAD,スポートレーダーグループ,サービス業,NASDAQ,普通株式,〇
SRBK,ＳＲ　バンコープ,銀行業,NASDAQ,普通株式,〇
SRCE,ファースト　ソース,銀行業,NASDAQ,普通株式,〇
SRE,センプラ,電気・ガス業,NYSE,普通株式,〇
SRET,グローバルＸ　スーパーディビィデンド－世界リート　ＥＴＦ,その他,NASDAQ,ETF,
SRFM,サーフ　エア　モビリティ,空運業,NYSE,普通株式,〇
SRI,ストーンリッジ,輸送用機器,NYSE,普通株式,〇
SRL,スカリーロイヤリティ,その他,NYSE,普通株式,〇
SRLN,ステートストリート　ブラック・ストーン　シニアローン　ＥＴＦ,その他,NYSE_ARCA,ETF,
SRPT,サレプタ　セラピューティックス,医薬品,NASDAQ,普通株式,〇
SRRK,スカラー　ロック　ホールディング,医薬品,NASDAQ,普通株式,〇
SRTA,ストラタ・クリティカル・メディカル,空運業,NASDAQ,普通株式,〇
SRTS,センサス　ヘルスケア,精密機器,NASDAQ,普通株式,〇
SRXH,ＳＲｘヘルス　ソリューションズ,食料品,AMEX,普通株式,〇
SRZN,スローゼン,医薬品,NASDAQ,普通株式,〇
SSB,サウスステート　バンク,銀行業,NYSE,普通株式,〇
SSD,シンプソン　マニュファクチャリング,金属製品,NYSE,普通株式,〇
SSL,サソル　ＡＤＲ,鉱業,NYSE,ADR,〇
SSNC,ＳＳ＆Ｃ　テクノロジーズ　ホールディングス,サービス業,NASDAQ,普通株式,〇
SSO,プロシェアーズ　ウルトラ　Ｓ＆Ｐ５００,その他,NYSE_ARCA,ETF,
SSP,Ｅ．Ｗ．　スクリップス,情報・通信業,NASDAQ,普通株式,〇
SSRM,ＳＳＲ　マイニング,その他,NASDAQ,普通株式,〇
SST,システム１,サービス業,NYSE,普通株式,〇
SSTI,サウンドシンキング,サービス業,NASDAQ,普通株式,〇
SSTK,シャッターストック,サービス業,NYSE,普通株式,〇
SSYS,ストラタシス,精密機器,NASDAQ,普通株式,〇
ST,センサータ　テクノロジーズ　ホールディング,精密機器,NYSE,普通株式,〇
STAA,スター　サージカル,精密機器,NASDAQ,普通株式,〇
STBA,Ｓ＆Ｔ　バンコープ,銀行業,NASDAQ,普通株式,〇
STC,スチュワート　インフォメーション　サービシズ,保険業,NYSE,普通株式,〇
STE,ステリス,精密機器,NYSE,普通株式,〇
STEL,ステラ　バンコープ,銀行業,NYSE,普通株式,〇
STEM,ステム,精密機器,NYSE,普通株式,〇
STEP,ステップストーン　グループ,証券、商品先物取引業,NASDAQ,普通株式,〇
STEX,ストリームイーエックス,精密機器,NASDAQ,普通株式,〇
STG,サンランズ　テクノロジー　グループ　ＡＤＲ,サービス業,NYSE,ADR,〇
STGW,スタグウェル,サービス業,NASDAQ,普通株式,〇
STHO,スター　ホールディングス,不動産業,NASDAQ,普通株式,〇
STIM,ニューロネティクス,精密機器,NASDAQ,普通株式,〇
STKH,ステーキホルダーフーズＡＤＲ,食料品,NASDAQ,ADR,〇
STKL,サンオプタ,卸売業,NASDAQ,普通株式,〇
STKS,ワン　グループ　ホスピタリティ,小売業,NASDAQ,普通株式,〇
STLA,ステランティス,輸送用機器,NYSE,普通株式,〇
STLD,スチール　ダイナミクス,鉄鋼,NASDAQ,普通株式,〇
STM,ＳＴマイクロエレクトロニクス　ＮＹＲＳ,精密機器,NYSE,ADR,〇
STN,スタンテック,サービス業,NYSE,普通株式,〇
STNE,ストーン,サービス業,NASDAQ,普通株式,〇
STNG,スコーピオ　タンカーズ,海運業,NYSE,普通株式,〇
STOK,ストーク　セラピューティクス,医薬品,NASDAQ,普通株式,〇
STRA,ストラテジック　エデュケーション,サービス業,NASDAQ,普通株式,〇
STRL,スターリング　インフラストラクチャー,建設業,NASDAQ,普通株式,〇
STRO,ストゥロ　バイオファーマ,医薬品,NASDAQ,普通株式,〇
STRR,スター　エクイティ　ホールディングス,サービス業,NASDAQ,普通株式,〇
STRS,ストラタス　プロパティーズ,不動産業,NASDAQ,普通株式,〇
STRT,ストラテック　セキュリティ,輸送用機器,NASDAQ,普通株式,〇
STRZ,スターズ　エンターテイメント,サービス業,NASDAQ,普通株式,〇
STSS,シャープス　テクノロジー,精密機器,NASDAQ,普通株式,〇
STT,ステート　ストリート,銀行業,NYSE,普通株式,〇
STTK,シャトゥック　ラブス,医薬品,NASDAQ,普通株式,〇
STUB,スタブハブ,サービス業,NYSE,普通株式,〇
STX,シーゲイト　テクノロジー　ホールディングス,精密機器,NASDAQ,普通株式,〇
STXS,ステレオタクシス,精密機器,AMEX,普通株式,〇
STZ,コンステレーション　ブランズ　Ａ,食料品,NYSE,普通株式,〇
SU,サンコアエナジー,石油・石炭製品,NYSE,普通株式,〇
SUNC,スノココープ,石油・石炭製品,NYSE,普通株式,〇
SUNE,サンネイション　エナジー,精密機器,NASDAQ,普通株式,〇
SUPN,スーパーナス　ファーマシューティカルズ,医薬品,NASDAQ,普通株式,〇
SUPV,グルポ　シュペルヴィエル　ＡＤＲ,銀行業,NYSE,ADR,〇
SUPX,スーパーエックス　ＡＩ　テクノロジー,サービス業,NASDAQ,普通株式,〇
SURG,サージペイズ,サービス業,NASDAQ,普通株式,〇
SUSA,ｉシェアーズ　ＥＳＧオプティマイズドＭＳＣＩ　ＵＳＡ　ＥＴＦ,その他,NYSE_ARCA,ETF,〇
SUZ,スザノ　ＡＤＲ,パルプ・紙,NYSE,ADR,〇
SVCO,シルバコ　グループ,サービス業,NASDAQ,普通株式,〇
SVM,シルバーコープ　メタルズ,鉱業,AMEX,普通株式,〇
SVRA,サヴァラ,医薬品,NASDAQ,普通株式,〇
SVRE,セイバーワン　２０１４　ＡＤＲ,サービス業,NASDAQ,ADR,〇
SVRN,オーシャンパル,海運業,NASDAQ,普通株式,〇
SVV,セーバーズ　バリュー　ビレッジ,小売業,NYSE,普通株式,〇
SW,スマーフィット　ウエストロック,パルプ・紙,NYSE,普通株式,〇
SWAG,ストラン　＆　カンパニー,サービス業,NASDAQ,普通株式,〇
SWBI,スミス＆ウェッソン　ブランズ,機械,NASDAQ,普通株式,〇
SWIM,レイサム　グループ,石油・石炭製品,NASDAQ,普通株式,〇
SWK,スタンレー　ブラック＆デッカー,金属製品,NYSE,普通株式,〇
SWKS,スカイワークス　ソリューションズ,精密機器,NASDAQ,普通株式,〇
SWVL,スワブル　ホールディングス,サービス業,NASDAQ,普通株式,〇
SWX,サウスウエスト　ガス　ホールディングス,電気・ガス業,NYSE,普通株式,〇
SXC,サンコーク　エナジー,鉄鋼,NYSE,普通株式,〇
SXI,スタンデックス　インターナショナル,機械,NYSE,普通株式,〇
SXT,センシエント　テクノロジーズ,化学,NYSE,普通株式,〇
SY,ソー－ヤング　インターナショナル,サービス業,NASDAQ,普通株式,〇
SYBT,ストック　ヤーズ　バンコープ,銀行業,NASDAQ,普通株式,〇
SYF,シンクロニー　ファイナンシャル,その他金融業,NYSE,普通株式,〇
SYK,ストライカー,精密機器,NYSE,普通株式,〇
SYM,シンボティック,機械,NASDAQ,普通株式,〇
SYNA,シナプティクス,精密機器,NASDAQ,普通株式,〇
SYPR,サイプリス　ソリューションズ,精密機器,NASDAQ,普通株式,〇
SYRE,スパイア　セラピューティクス,医薬品,NASDAQ,普通株式,〇
SYY,シスコ,卸売業,NYSE,普通株式,〇
T,ＡＴ＆Ｔ,情報・通信業,NYSE,普通株式,〇
TAC,トランスアルタ,電気・ガス業,NYSE,普通株式,〇
TACT,トランスアクト　テクノロジーズ,精密機器,NASDAQ,普通株式,〇
TAL,ＴＡＬ　エデュケーション　グループ　ＡＤＲ,サービス業,NYSE,ADR,〇
TALK,トークスペース,サービス業,NASDAQ,普通株式,〇
TALO,タロス　エナジー,鉱業,NYSE,普通株式,〇
TAN,インベスコソーラーＥＴＦ,その他,NYSE_ARCA,ETF,〇
TANH,タンテックホールディングス,化学,NASDAQ,普通株式,〇
TAOP,タオピン,サービス業,NASDAQ,普通株式,〇
TAOX,ＴＡＯシナジーズ,医薬品,NASDAQ,普通株式,〇
TAP,モルソン　クアーズ　ビバレッジ　Ｂ,食料品,NYSE,普通株式,〇
TARA,プロタラ　セラピューティクス,医薬品,NASDAQ,普通株式,〇
TARS,ターサス　ファーマシューティカルズ,医薬品,NASDAQ,普通株式,〇
TASK,タスクアス,サービス業,NASDAQ,普通株式,〇
TATT,ＴＡＴ　テクノロジーズ,輸送用機器,NASDAQ,普通株式,〇
TAYD,テイラー　デバイセズ,機械,NASDAQ,普通株式,〇
TBBB,ＢＢＢ　フーズ,小売業,NYSE,普通株式,〇
TBBK,バンコープ,銀行業,NASDAQ,普通株式,〇
TBCH,タートル　ビーチ,精密機器,NASDAQ,普通株式,〇
TBH,ブラッグ　ハウス　ホールディングス,サービス業,NASDAQ,普通株式,〇
TBI,トゥルーブルー,サービス業,NYSE,普通株式,〇
TBLA,タブーラドットコム,サービス業,NASDAQ,普通株式,〇
TBN,タンボラン　リソーシズ,鉱業,NYSE,普通株式,〇
TBPH,テラバンス　バイオファーマ,医薬品,NASDAQ,普通株式,〇
TBRG,トゥルーブリッジ,サービス業,NASDAQ,普通株式,〇
TC,トークン　キャット,サービス業,NASDAQ,ADR,〇
TCBI,テキサス　キャピタル　バンクシェアーズ,銀行業,NASDAQ,普通株式,〇
TCBK,トライコー　バンクシェアーズ,銀行業,NASDAQ,普通株式,〇
TCBS,テキサス　コミュニティ　バンクシェアーズ,銀行業,NASDAQ,普通株式,〇
TCBX,サード　コースト　バンクシェアーズ,銀行業,NYSE,普通株式,〇
TCI,トランスコンチネンタル　リアルティ　インベスターズ,その他,NYSE,普通株式,〇
TCMD,タクタイル　システムズ　テクノロジー,精密機器,NASDAQ,普通株式,〇
TCOM,携程旅行網（トリップドットコム　グループ）　ＡＤＲ,サービス業,NASDAQ,ADR,〇
TCRT,アラウノス　セラピューティクス,医薬品,NASDAQ,普通株式,〇
TCRX,Ｔスキャン　セラピューティクス,医薬品,NASDAQ,普通株式,〇
TCX,トゥカウズ,サービス業,NASDAQ,普通株式,〇
TD,トロント－ドミニオン　バンク,銀行業,NYSE,普通株式,〇
TDAY,ＵＳＡ　トゥデイ,その他製品,NYSE,普通株式,〇
TDC,テラデータ,サービス業,NYSE,普通株式,〇
TDG,トランス　ダイム　グループ,輸送用機器,NYSE,普通株式,〇
TDIC,ドリームランド,サービス業,NASDAQ,普通株式,〇
TDIV,ファースト　トラスト　ナスダック　テック配当指数　ファンド,その他,NASDAQ,ETF,〇
TDOC,テラドック　ヘルス,サービス業,NYSE,普通株式,〇
TDS,テレフォン　＆　データ　システムズ,情報・通信業,NYSE,普通株式,〇
TDTH,トライデント　デジタル　テック　ホールディングス　ＡＤＲ,サービス業,NASDAQ,ADR,〇
TDUP,スレッドアップ,小売業,NASDAQ,普通株式,〇
TDVI,ＦＴ　Ｖｅｓｔ　テクノロジー配当ターゲットインカムＥＴＦ,その他,CBOE,ETF,
TDW,タイドウォーター,海運業,NYSE,普通株式,〇
TDY,テレダイン　テクノロジーズ,精密機器,NYSE,普通株式,〇
TE,Ｔ１　エナジー,精密機器,NYSE,普通株式,〇
TEAD,ティーズ　ホールディング,サービス業,NASDAQ,普通株式,〇
TEAM,アトラシアン,サービス業,NASDAQ,普通株式,〇
TECH,バイオ　テクネ,医薬品,NASDAQ,普通株式,〇
TECK,テック　リソーシズ,鉱業,NYSE,普通株式,〇
TECL,Ｄｉｒｅｘｉｏｎ　デイリーテクノロジー株　ブル３倍　ＥＴＦ,その他,NYSE_ARCA,ETF,
TECS,Ｄｉｒｅｘｉｏｎ　デイリー　テクノロジー株　ベア３倍　ＥＴＦ,その他,NYSE_ARCA,ETF,
TECX,テクトニック　セラピューティック,医薬品,NASDAQ,普通株式,〇
TEL,ＴＥ　コネクティビティ,卸売業,NYSE,普通株式,〇
TELA,テラ　バイオ,精密機器,NASDAQ,普通株式,〇
TELO,テロミル　ファーマシューティカルズ,医薬品,NASDAQ,普通株式,〇
TEM,テンパスＡＩ,精密機器,NASDAQ,普通株式,〇
TEN,ツァコス　エナジー　ナビゲーション,海運業,NYSE,普通株式,〇
TENB,テナブル　ホールディングス,サービス業,NASDAQ,普通株式,〇
TENX,テナックス　セラピューティクス,医薬品,NASDAQ,普通株式,〇
TEO,テレコムアルゼンティーナＡＤＲ,情報・通信業,NYSE,ADR,〇
TER,テラダイン,精密機器,NASDAQ,普通株式,〇
TERN,ターンズ　ファーマシューティカルズ,医薬品,NASDAQ,普通株式,〇
TEVA,テバ　ファーマスーティカル　インダストリーズ　ＡＤＲ,医薬品,NYSE,ADR,〇
TEX,テレックス,機械,NYSE,普通株式,〇
TFC,トゥリスト　ファイナンシャル,銀行業,NYSE,普通株式,〇
TFII,ＴＦＩ　インターナショナル,陸運業,NYSE,普通株式,〇
TFIN,トライアンフ　ファイナンシャル,銀行業,NYSE,普通株式,〇
TFPM,トリプル　フラッグ　プレシャス　メタルズ,その他,NYSE,普通株式,〇
TFSL,ＴＦＳ　ファイナンシャル,銀行業,NASDAQ,普通株式,〇
TFX,テレフレックス,精密機器,NYSE,普通株式,〇
TG,トレデガー,非鉄金属,NYSE,普通株式,〇
TGB,タセコ　マインズ,鉱業,AMEX,普通株式,〇
TGL,トレジャー　グローバル,サービス業,NASDAQ,普通株式,〇
TGS,トランスポルタドラデガスデルスルＡＤＲ,電気・ガス業,NYSE,ADR,〇
TGT,ターゲット,小売業,NYSE,普通株式,〇
TGTX,ＴＧ　セラピューティクス,医薬品,NASDAQ,普通株式,〇
TH,ターゲット　ホスピタリティ,サービス業,NASDAQ,普通株式,〇
THC,テネット　ヘルスケア,サービス業,NYSE,普通株式,〇
THCH,ＴＨ　インターナショナル,小売業,NASDAQ,普通株式,〇
THD,ｉシェアーズ　ＭＳＣＩ　タイ　ＥＴＦ,その他,NYSE_ARCA,ETF,〇
THFF,ファースト　ファイナンシャル,銀行業,NASDAQ,普通株式,〇
THG,ハノーバー　インシュアランス　グループ,保険業,NYSE,普通株式,〇
THO,ソーア　インダストリーズ,輸送用機器,NYSE,普通株式,〇
THR,サーモン　グループ　ホールディングス,電気機器,NYSE,普通株式,〇
THRM,ジェンサーム,輸送用機器,NASDAQ,普通株式,〇
THRY,スライブ　ホールディングス,サービス業,NASDAQ,普通株式,〇
TIC,ＴＩＣソリューションズ,精密機器,NYSE,普通株式,〇
TIGR,ＵＰ　フィンテック　ホールデイング　ＡＤＲ,証券、商品先物取引業,NASDAQ,ADR,〇
TIL,インスティル　バイオ,医薬品,NASDAQ,普通株式,〇
TILE,インターフェイス,繊維製品,NASDAQ,普通株式,〇
TIMB,ＴＩＭＡＤＲ,情報・通信業,NYSE,ADR,〇
TIP,ｉシェアーズ　米国物価連動国債　ＥＴＦ,その他,NYSE_ARCA,ETF,
TIPT,ティップツリー,保険業,NASDAQ,普通株式,〇
TISI,チーム,サービス業,NYSE,普通株式,〇
TITN,タイタン　マシナリー,小売業,NASDAQ,普通株式,〇
TJGC,ＴＪＧＣグループ,サービス業,NASDAQ,普通株式,〇
TJX,ＴＪＸ,小売業,NYSE,普通株式,〇
TK,ティーケイ,海運業,NYSE,普通株式,〇
TKC,タークセル　イレティシム　ヒズメトレリ　ＡＤＲ,情報・通信業,NYSE,ADR,〇
TKNO,アルファ　テクノバ,医薬品,NASDAQ,普通株式,〇
TKO,ＴＫＯグループ　ホールディングス,サービス業,NYSE,普通株式,〇
TKR,ティムケン,機械,NYSE,普通株式,〇
TLA,グラナイトシェアーズ　オートコーラブル　ＴＳＬＡ　ＥＴＦ,その他,NASDAQ,ETF,
TLF,タンディー　レザー　ファクトリー,その他製品,NASDAQ,普通株式,〇
TLK,ＰＴ　テレコムニカシ　インドネシア　ＡＤＲ,情報・通信業,NYSE,ADR,〇
TLN,タレン　エナジー,電気・ガス業,NASDAQ,普通株式,〇
TLPH,タルフェラ,医薬品,NASDAQ,普通株式,〇
TLRY,ティルレイ　ブランズ,医薬品,NASDAQ,普通株式,〇
TLS,テロス,サービス業,NASDAQ,普通株式,〇
TLSA,ティジアナ　ライフ　サイエンシズ,医薬品,NASDAQ,普通株式,〇
TLSI,トライサラス　ライフ　サイエンシズ,サービス業,NASDAQ,普通株式,〇
